datetime,actual_generation_mw,primary_source
2026-06-30 14:00:00,20.64,Thermal
2026-06-30 14:00:00,3.44,Hydro
2026-06-30 13:45:00,20.12,Thermal
2026-06-30 13:45:00,2.16,Wind
2026-06-30 13:45:00,0.56,Geothermal
2026-06-30 13:45:00,15.8,Photovoltaic
2026-06-30 13:45:00,9.42,Self-consumption
2026-06-30 13:45:00,3.28,Hydro
2026-06-30 13:30:00,19.64,Thermal
2026-06-30 13:30:00,2.04,Wind
2026-06-30 13:30:00,0.56,Geothermal
2026-06-30 13:30:00,15.92,Photovoltaic
2026-06-30 13:30:00,9.528,Self-consumption
2026-06-30 13:30:00,3.28,Hydro
2026-06-30 13:15:00,9.584,Self-consumption
2026-06-30 13:15:00,16.28,Photovoltaic
2026-06-30 13:15:00,0.56,Geothermal
2026-06-30 13:15:00,1.84,Wind
2026-06-30 13:15:00,19.28,Thermal
2026-06-30 13:15:00,3.28,Hydro
2026-06-30 13:00:00,9.552,Self-consumption
2026-06-30 13:00:00,16.32,Photovoltaic
2026-06-30 13:00:00,0.56,Geothermal
2026-06-30 13:00:00,1.56,Wind
2026-06-30 13:00:00,19.28,Thermal
2026-06-30 13:00:00,3.28,Hydro
2026-06-30 12:45:00,3.32,Hydro
2026-06-30 12:45:00,9.424,Self-consumption
2026-06-30 12:45:00,16.4,Photovoltaic
2026-06-30 12:45:00,0.56,Geothermal
2026-06-30 12:45:00,19.76,Thermal
2026-06-30 12:45:00,1.32,Wind
2026-06-30 12:30:00,3.36,Hydro
2026-06-30 12:30:00,9.372,Self-consumption
2026-06-30 12:30:00,1.16,Wind
2026-06-30 12:30:00,0.56,Geothermal
2026-06-30 12:30:00,16.48,Photovoltaic
2026-06-30 12:30:00,19.72,Thermal
2026-06-30 12:15:00,1.0,Wind
2026-06-30 12:15:00,3.4,Hydro
2026-06-30 12:15:00,9.252,Self-consumption
2026-06-30 12:15:00,16.4,Photovoltaic
2026-06-30 12:15:00,0.56,Geothermal
2026-06-30 12:15:00,19.76,Thermal
2026-06-30 12:00:00,19.8,Thermal
2026-06-30 12:00:00,0.84,Wind
2026-06-30 12:00:00,3.32,Hydro
2026-06-30 12:00:00,9.496,Self-consumption
2026-06-30 12:00:00,16.4,Photovoltaic
2026-06-30 12:00:00,0.56,Geothermal
2026-06-30 11:45:00,16.24,Photovoltaic
2026-06-30 11:45:00,9.564,Self-consumption
2026-06-30 11:45:00,0.56,Geothermal
2026-06-30 11:45:00,0.76,Wind
2026-06-30 11:45:00,20.68,Thermal
2026-06-30 11:45:00,3.4,Hydro
2026-06-30 11:30:00,0.72,Wind
2026-06-30 11:30:00,21.08,Thermal
2026-06-30 11:30:00,0.56,Geothermal
2026-06-30 11:30:00,3.4,Hydro
2026-06-30 11:30:00,9.296,Self-consumption
2026-06-30 11:30:00,15.8,Photovoltaic
2026-06-30 11:15:00,9.088,Self-consumption
2026-06-30 11:15:00,15.32,Photovoltaic
2026-06-30 11:15:00,21.2,Thermal
2026-06-30 11:15:00,0.68,Wind
2026-06-30 11:15:00,0.56,Geothermal
2026-06-30 11:15:00,3.4,Hydro
2026-06-30 11:00:00,21.48,Thermal
2026-06-30 11:00:00,0.64,Wind
2026-06-30 11:00:00,0.56,Geothermal
2026-06-30 11:00:00,15.24,Photovoltaic
2026-06-30 11:00:00,9.152,Self-consumption
2026-06-30 11:00:00,3.48,Hydro
2026-06-30 10:45:00,21.4,Thermal
2026-06-30 10:45:00,0.6,Wind
2026-06-30 10:45:00,0.56,Geothermal
2026-06-30 10:45:00,14.84,Photovoltaic
2026-06-30 10:45:00,8.952,Self-consumption
2026-06-30 10:45:00,3.6,Hydro
2026-06-30 10:30:00,21.52,Thermal
2026-06-30 10:30:00,0.6,Wind
2026-06-30 10:30:00,0.56,Geothermal
2026-06-30 10:30:00,14.44,Photovoltaic
2026-06-30 10:30:00,8.84,Self-consumption
2026-06-30 10:30:00,3.6,Hydro
2026-06-30 10:15:00,8.564,Self-consumption
2026-06-30 10:15:00,13.88,Photovoltaic
2026-06-30 10:15:00,0.56,Geothermal
2026-06-30 10:15:00,0.6,Wind
2026-06-30 10:15:00,21.72,Thermal
2026-06-30 10:15:00,3.56,Hydro
2026-06-30 10:00:00,8.112,Self-consumption
2026-06-30 10:00:00,13.16,Photovoltaic
2026-06-30 10:00:00,0.56,Geothermal
2026-06-30 10:00:00,0.56,Wind
2026-06-30 10:00:00,22.08,Thermal
2026-06-30 10:00:00,3.64,Hydro
2026-06-30 09:45:00,7.716,Self-consumption
2026-06-30 09:45:00,12.52,Photovoltaic
2026-06-30 09:45:00,4.08,Hydro
2026-06-30 09:45:00,0.56,Geothermal
2026-06-30 09:45:00,0.56,Wind
2026-06-30 09:45:00,22.68,Thermal
2026-06-30 09:30:00,0.56,Geothermal
2026-06-30 09:30:00,0.56,Wind
2026-06-30 09:30:00,23.12,Thermal
2026-06-30 09:30:00,7.448,Self-consumption
2026-06-30 09:30:00,4.44,Hydro
2026-06-30 09:30:00,11.76,Photovoltaic
2026-06-30 09:15:00,4.6,Hydro
2026-06-30 09:15:00,7.092,Self-consumption
2026-06-30 09:15:00,23.48,Thermal
2026-06-30 09:15:00,0.56,Wind
2026-06-30 09:15:00,0.56,Geothermal
2026-06-30 09:15:00,10.88,Photovoltaic
2026-06-30 09:00:00,0.52,Wind
2026-06-30 09:00:00,0.56,Geothermal
2026-06-30 09:00:00,10.0,Photovoltaic
2026-06-30 09:00:00,23.52,Thermal
2026-06-30 09:00:00,6.756,Self-consumption
2026-06-30 09:00:00,4.88,Hydro
2026-06-30 08:45:00,23.76,Thermal
2026-06-30 08:45:00,0.48,Wind
2026-06-30 08:45:00,0.56,Geothermal
2026-06-30 08:45:00,9.08,Photovoltaic
2026-06-30 08:45:00,6.272,Self-consumption
2026-06-30 08:45:00,5.44,Hydro
2026-06-30 08:30:00,23.76,Thermal
2026-06-30 08:30:00,0.48,Wind
2026-06-30 08:30:00,0.56,Geothermal
2026-06-30 08:30:00,8.16,Photovoltaic
2026-06-30 08:30:00,5.88,Self-consumption
2026-06-30 08:30:00,5.36,Hydro
2026-06-30 08:15:00,5.54,Self-consumption
2026-06-30 08:15:00,7.2,Photovoltaic
2026-06-30 08:15:00,0.56,Geothermal
2026-06-30 08:15:00,0.48,Wind
2026-06-30 08:15:00,23.8,Thermal
2026-06-30 08:15:00,5.4,Hydro
2026-06-30 08:00:00,5.06,Self-consumption
2026-06-30 08:00:00,6.16,Photovoltaic
2026-06-30 08:00:00,0.56,Geothermal
2026-06-30 08:00:00,0.48,Wind
2026-06-30 08:00:00,23.96,Thermal
2026-06-30 08:00:00,5.72,Hydro
2026-06-30 07:45:00,4.42,Self-consumption
2026-06-30 07:45:00,5.08,Photovoltaic
2026-06-30 07:45:00,0.56,Geothermal
2026-06-30 07:45:00,0.48,Wind
2026-06-30 07:45:00,24.08,Thermal
2026-06-30 07:45:00,5.88,Hydro
2026-06-30 07:30:00,23.92,Thermal
2026-06-30 07:30:00,0.48,Wind
2026-06-30 07:30:00,0.56,Geothermal
2026-06-30 07:30:00,4.12,Photovoltaic
2026-06-30 07:30:00,3.928,Self-consumption
2026-06-30 07:30:00,6.0,Hydro
2026-06-30 07:15:00,6.04,Hydro
2026-06-30 07:15:00,3.548,Self-consumption
2026-06-30 07:15:00,3.24,Photovoltaic
2026-06-30 07:15:00,0.56,Geothermal
2026-06-30 07:15:00,24.0,Thermal
2026-06-30 07:15:00,0.52,Wind
2026-06-30 07:00:00,24.2,Thermal
2026-06-30 07:00:00,0.52,Wind
2026-06-30 07:00:00,0.56,Geothermal
2026-06-30 07:00:00,2.36,Photovoltaic
2026-06-30 07:00:00,3.16,Self-consumption
2026-06-30 07:00:00,5.88,Hydro
2026-06-30 06:45:00,24.0,Thermal
2026-06-30 06:45:00,0.56,Wind
2026-06-30 06:45:00,0.56,Geothermal
2026-06-30 06:45:00,1.6,Photovoltaic
2026-06-30 06:45:00,2.848,Self-consumption
2026-06-30 06:45:00,4.84,Hydro
2026-06-30 06:30:00,24.24,Thermal
2026-06-30 06:30:00,0.56,Wind
2026-06-30 06:30:00,0.56,Geothermal
2026-06-30 06:30:00,1.04,Photovoltaic
2026-06-30 06:30:00,2.584,Self-consumption
2026-06-30 06:30:00,4.72,Hydro
2026-06-30 06:15:00,2.376,Self-consumption
2026-06-30 06:15:00,0.6,Photovoltaic
2026-06-30 06:15:00,0.56,Geothermal
2026-06-30 06:15:00,0.56,Wind
2026-06-30 06:15:00,24.48,Thermal
2026-06-30 06:15:00,4.52,Hydro
2026-06-30 06:00:00,2.06,Self-consumption
2026-06-30 06:00:00,0.28,Photovoltaic
2026-06-30 06:00:00,0.56,Geothermal
2026-06-30 06:00:00,0.48,Wind
2026-06-30 06:00:00,24.2,Thermal
2026-06-30 06:00:00,4.28,Hydro
2026-06-30 05:45:00,24.36,Thermal
2026-06-30 05:45:00,0.4,Wind
2026-06-30 05:45:00,0.56,Geothermal
2026-06-30 05:45:00,0.08,Photovoltaic
2026-06-30 05:45:00,1.816,Self-consumption
2026-06-30 05:45:00,3.72,Hydro
2026-06-30 05:30:00,24.28,Thermal
2026-06-30 05:30:00,0.36,Wind
2026-06-30 05:30:00,0.56,Geothermal
2026-06-30 05:30:00,0.0,Photovoltaic
2026-06-30 05:30:00,1.724,Self-consumption
2026-06-30 05:30:00,3.68,Hydro
2026-06-30 05:15:00,1.712,Self-consumption
2026-06-30 05:15:00,0.0,Photovoltaic
2026-06-30 05:15:00,0.56,Geothermal
2026-06-30 05:15:00,0.36,Wind
2026-06-30 05:15:00,24.16,Thermal
2026-06-30 05:15:00,3.68,Hydro
2026-06-30 05:00:00,1.712,Self-consumption
2026-06-30 05:00:00,0.0,Photovoltaic
2026-06-30 05:00:00,0.56,Geothermal
2026-06-30 05:00:00,0.4,Wind
2026-06-30 05:00:00,24.08,Thermal
2026-06-30 05:00:00,3.76,Hydro
2026-06-30 04:45:00,3.64,Hydro
2026-06-30 04:45:00,1.672,Self-consumption
2026-06-30 04:45:00,0.0,Photovoltaic
2026-06-30 04:45:00,0.56,Geothermal
2026-06-30 04:45:00,23.84,Thermal
2026-06-30 04:45:00,0.4,Wind
2026-06-30 04:30:00,3.64,Hydro
2026-06-30 04:30:00,1.692,Self-consumption
2026-06-30 04:30:00,0.4,Wind
2026-06-30 04:30:00,0.56,Geothermal
2026-06-30 04:30:00,0.0,Photovoltaic
2026-06-30 04:30:00,23.68,Thermal
2026-06-30 04:15:00,0.36,Wind
2026-06-30 04:15:00,3.64,Hydro
2026-06-30 04:15:00,1.688,Self-consumption
2026-06-30 04:15:00,0.0,Photovoltaic
2026-06-30 04:15:00,0.56,Geothermal
2026-06-30 04:15:00,23.88,Thermal
2026-06-30 04:00:00,23.92,Thermal
2026-06-30 04:00:00,0.36,Wind
2026-06-30 04:00:00,3.64,Hydro
2026-06-30 04:00:00,1.684,Self-consumption
2026-06-30 04:00:00,0.0,Photovoltaic
2026-06-30 04:00:00,0.56,Geothermal
2026-06-30 03:45:00,23.72,Thermal
2026-06-30 03:45:00,0.32,Wind
2026-06-30 03:45:00,0.56,Geothermal
2026-06-30 03:45:00,0.0,Photovoltaic
2026-06-30 03:45:00,1.62,Self-consumption
2026-06-30 03:45:00,3.76,Hydro
2026-06-30 03:30:00,23.8,Thermal
2026-06-30 03:30:00,0.32,Wind
2026-06-30 03:30:00,0.56,Geothermal
2026-06-30 03:30:00,0.0,Photovoltaic
2026-06-30 03:30:00,1.632,Self-consumption
2026-06-30 03:30:00,3.76,Hydro
2026-06-30 03:15:00,1.624,Self-consumption
2026-06-30 03:15:00,0.0,Photovoltaic
2026-06-30 03:15:00,0.56,Geothermal
2026-06-30 03:15:00,0.36,Wind
2026-06-30 03:15:00,23.72,Thermal
2026-06-30 03:15:00,3.84,Hydro
2026-06-30 03:00:00,1.648,Self-consumption
2026-06-30 03:00:00,0.0,Photovoltaic
2026-06-30 03:00:00,0.56,Geothermal
2026-06-30 03:00:00,0.36,Wind
2026-06-30 03:00:00,23.92,Thermal
2026-06-30 03:00:00,3.88,Hydro
2026-06-30 02:45:00,23.8,Thermal
2026-06-30 02:45:00,0.28,Wind
2026-06-30 02:45:00,0.56,Geothermal
2026-06-30 02:45:00,0.0,Photovoltaic
2026-06-30 02:45:00,1.592,Self-consumption
2026-06-30 02:45:00,3.96,Hydro
2026-06-30 02:30:00,24.0,Thermal
2026-06-30 02:30:00,0.24,Wind
2026-06-30 02:30:00,0.56,Geothermal
2026-06-30 02:30:00,0.0,Photovoltaic
2026-06-30 02:30:00,1.668,Self-consumption
2026-06-30 02:30:00,3.96,Hydro
2026-06-30 02:15:00,1.768,Self-consumption
2026-06-30 02:15:00,0.0,Photovoltaic
2026-06-30 02:15:00,0.56,Geothermal
2026-06-30 02:15:00,0.28,Wind
2026-06-30 02:15:00,24.08,Thermal
2026-06-30 02:15:00,4.04,Hydro
2026-06-30 02:00:00,1.908,Self-consumption
2026-06-30 02:00:00,0.0,Photovoltaic
2026-06-30 02:00:00,0.56,Geothermal
2026-06-30 02:00:00,0.28,Wind
2026-06-30 02:00:00,24.16,Thermal
2026-06-30 02:00:00,4.08,Hydro
2026-06-30 01:45:00,1.904,Self-consumption
2026-06-30 01:45:00,0.0,Photovoltaic
2026-06-30 01:45:00,4.44,Hydro
2026-06-30 01:45:00,0.56,Geothermal
2026-06-30 01:45:00,0.24,Wind
2026-06-30 01:45:00,24.2,Thermal
2026-06-30 01:30:00,0.56,Geothermal
2026-06-30 01:30:00,0.28,Wind
2026-06-30 01:30:00,24.56,Thermal
2026-06-30 01:30:00,1.992,Self-consumption
2026-06-30 01:30:00,4.48,Hydro
2026-06-30 01:30:00,0.0,Photovoltaic
2026-06-30 01:15:00,4.52,Hydro
2026-06-30 01:15:00,2.04,Self-consumption
2026-06-30 01:15:00,24.52,Thermal
2026-06-30 01:15:00,0.32,Wind
2026-06-30 01:15:00,0.56,Geothermal
2026-06-30 01:15:00,0.0,Photovoltaic
2026-06-30 01:00:00,0.36,Wind
2026-06-30 01:00:00,0.56,Geothermal
2026-06-30 01:00:00,0.0,Photovoltaic
2026-06-30 01:00:00,25.08,Thermal
2026-06-30 01:00:00,2.164,Self-consumption
2026-06-30 01:00:00,4.76,Hydro
2026-06-30 00:45:00,24.84,Thermal
2026-06-30 00:45:00,0.4,Wind
2026-06-30 00:45:00,0.56,Geothermal
2026-06-30 00:45:00,0.0,Photovoltaic
2026-06-30 00:45:00,2.22,Self-consumption
2026-06-30 00:45:00,5.24,Hydro
2026-06-30 00:30:00,25.16,Thermal
2026-06-30 00:30:00,0.4,Wind
2026-06-30 00:30:00,0.56,Geothermal
2026-06-30 00:30:00,0.0,Photovoltaic
2026-06-30 00:30:00,2.312,Self-consumption
2026-06-30 00:30:00,5.36,Hydro
2026-06-30 00:15:00,2.328,Self-consumption
2026-06-30 00:15:00,0.0,Photovoltaic
2026-06-30 00:15:00,0.56,Geothermal
2026-06-30 00:15:00,0.4,Wind
2026-06-30 00:15:00,25.28,Thermal
2026-06-30 00:15:00,5.4,Hydro
2026-06-30 00:00:00,2.496,Self-consumption
2026-06-30 00:00:00,0.0,Photovoltaic
2026-06-30 00:00:00,0.56,Geothermal
2026-06-30 00:00:00,0.4,Wind
2026-06-30 00:00:00,25.92,Thermal
2026-06-30 00:00:00,5.52,Hydro
2026-06-29 23:45:00,27.08,Thermal
2026-06-29 23:45:00,0.4,Wind
2026-06-29 23:45:00,0.56,Geothermal
2026-06-29 23:45:00,0.0,Photovoltaic
2026-06-29 23:45:00,2.636,Self-consumption
2026-06-29 23:45:00,5.56,Hydro
2026-06-29 23:30:00,27.64,Thermal
2026-06-29 23:30:00,0.4,Wind
2026-06-29 23:30:00,0.56,Geothermal
2026-06-29 23:30:00,0.0,Photovoltaic
2026-06-29 23:30:00,2.752,Self-consumption
2026-06-29 23:30:00,5.72,Hydro
2026-06-29 23:15:00,2.832,Self-consumption
2026-06-29 23:15:00,0.0,Photovoltaic
2026-06-29 23:15:00,0.56,Geothermal
2026-06-29 23:15:00,0.44,Wind
2026-06-29 23:15:00,28.72,Thermal
2026-06-29 23:15:00,5.8,Hydro
2026-06-29 23:00:00,3.028,Self-consumption
2026-06-29 23:00:00,0.0,Photovoltaic
2026-06-29 23:00:00,0.56,Geothermal
2026-06-29 23:00:00,0.44,Wind
2026-06-29 23:00:00,28.2,Thermal
2026-06-29 23:00:00,6.88,Hydro
2026-06-29 22:45:00,28.64,Thermal
2026-06-29 22:45:00,0.48,Wind
2026-06-29 22:45:00,0.56,Geothermal
2026-06-29 22:45:00,0.0,Photovoltaic
2026-06-29 22:45:00,3.148,Self-consumption
2026-06-29 22:45:00,7.6,Hydro
2026-06-29 22:30:00,29.12,Thermal
2026-06-29 22:30:00,0.52,Wind
2026-06-29 22:30:00,0.56,Geothermal
2026-06-29 22:30:00,0.0,Photovoltaic
2026-06-29 22:30:00,3.404,Self-consumption
