datetime,macroarea,macrouser,plant_type,prevailing_fuel,forecast_capacity_mw
2026-06-30 23:00:00,Nord,ALTRO,IDROELETTRICO,ALTRO,1707.9
2026-06-30 23:00:00,Nord,A2A,TERMICO CICLO COMBINATO,GAS NATURALE,3297.825429
2026-06-30 23:00:00,Sud_Isole,ALTRO,TERMICO CICLO COMBINATO,GAS NATURALE,7086.407594
2026-06-30 23:00:00,Sud_Isole,A2A,TERMICO CICLO COMBINATO,GAS NATURALE,654.28874
2026-06-30 23:00:00,Sud_Isole,ENEL,TERMICO TURBOGAS,ALTRO,591.0
2026-06-30 23:00:00,Sud_Isole,ENEL,TERMICO CICLO COMBINATO,GAS NATURALE,1886.570859
2026-06-30 22:00:00,Sud_Isole,EDF,TERMICO CICLO COMBINATO,GAS NATURALE,2148.043079
2026-06-30 22:00:00,Nord,A2A,TERMICO CICLO COMBINATO,GAS NATURALE,3297.825429
2026-06-30 22:00:00,Sud_Isole,EDF,TERMICO CICLO COMBINATO,ALTRO,754.97
2026-06-30 22:00:00,Sud_Isole,ALTRO,TERMICO TRADIZIONALE,CARBONE,262.212066
2026-06-30 22:00:00,Sud_Isole,ENEL,TERMICO TURBOGAS,ALTRO,591.0
2026-06-30 22:00:00,Nord,A2A,TERMICO TRADIZIONALE,GAS NATURALE,110.0
2026-06-30 22:00:00,Sud_Isole,EP,TERMICO CICLO COMBINATO,GAS NATURALE,691.560689
2026-06-30 22:00:00,Sud_Isole,ENEL,TERMICO TURBOGAS,GAS NATURALE,612.5
2026-06-30 22:00:00,Sud_Isole,EP,TERMICO TURBOGAS,GAS NATURALE,98.320444
2026-06-30 22:00:00,Nord,EP,TERMICO CICLO COMBINATO,GAS NATURALE,2768.629527
2026-06-30 22:00:00,Sud_Isole,ALTRO,TERMICO CICLO COMBINATO,GAS NATURALE,7086.407594
2026-06-30 22:00:00,Sud_Isole,ALTRO,TERMICO CICLO COMBINATO,ALTRO,598.993695
2026-06-30 22:00:00,Nord,ENEL,TERMICO CICLO COMBINATO,GAS NATURALE,2684.718269
2026-06-30 22:00:00,Sud_Isole,ENEL,TERMICO TRADIZIONALE,CARBONE,405.844774
2026-06-30 22:00:00,Sud_Isole,ALTRO,TERMICO TURBOGAS,GAS NATURALE,267.427402
2026-06-30 22:00:00,Sud_Isole,A2A,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,639.055602
2026-06-30 22:00:00,Nord,EDF,IDROELETTRICO,ALTRO,457.1
2026-06-30 22:00:00,Nord,ENEL,ALTRO,ALTRO,394.0
2026-06-30 22:00:00,Nord,A2A,IDROELETTRICO,ALTRO,1237.0
2026-06-30 22:00:00,Sud_Isole,ENEL,TERMICO CICLO COMBINATO,GAS NATURALE,1886.570859
2026-06-30 22:00:00,Sud_Isole,ALTRO,ALTRO,ALTRO,602.3
2026-06-30 22:00:00,Nord,ALTRO,TERMICO CICLO COMBINATO,GAS NATURALE,6788.202828
2026-06-30 22:00:00,Sud_Isole,ENEL,IDROELETTRICO,ALTRO,2596.643
2026-06-30 22:00:00,Nord,ALTRO,IDROELETTRICO,ALTRO,1707.9
2026-06-30 22:00:00,Nord,EDF,TERMICO CICLO COMBINATO,GAS NATURALE,1670.948251
2026-06-30 22:00:00,Nord,ENEL,IDROELETTRICO,ALTRO,3923.24
2026-06-30 22:00:00,Sud_Isole,ENEL,ALTRO,ALTRO,635.53
2026-06-30 22:00:00,Sud_Isole,EDF,ALTRO,ALTRO,130.4
2026-06-30 22:00:00,Sud_Isole,A2A,TERMICO CICLO COMBINATO,GAS NATURALE,654.28874
2026-06-30 22:00:00,Sud_Isole,A2A,IDROELETTRICO,ALTRO,395.0
2026-06-30 21:00:00,Sud_Isole,ENEL,IDROELETTRICO,ALTRO,2669.2509
2026-06-30 21:00:00,Sud_Isole,ALTRO,ALTRO,ALTRO,602.3
2026-06-30 21:00:00,Sud_Isole,EDF,TERMICO CICLO COMBINATO,ALTRO,754.97
2026-06-30 21:00:00,Sud_Isole,EDF,ALTRO,ALTRO,130.4
2026-06-30 21:00:00,Nord,ENEL,ALTRO,ALTRO,394.0
2026-06-30 21:00:00,Sud_Isole,EP,TERMICO TURBOGAS,GAS NATURALE,94.287433
2026-06-30 21:00:00,Sud_Isole,ENEL,TERMICO TRADIZIONALE,CARBONE,402.505682
2026-06-30 21:00:00,Nord,ALTRO,IDROELETTRICO,ALTRO,1707.9
2026-06-30 21:00:00,Nord,ENEL,IDROELETTRICO,ALTRO,3923.24
2026-06-30 21:00:00,Nord,ALTRO,TERMICO CICLO COMBINATO,GAS NATURALE,6608.321578
2026-06-30 21:00:00,Sud_Isole,ENEL,TERMICO TURBOGAS,GAS NATURALE,612.5
2026-06-30 21:00:00,Sud_Isole,ENEL,TERMICO TURBOGAS,ALTRO,591.0
2026-06-30 21:00:00,Nord,EDF,IDROELETTRICO,ALTRO,457.1
2026-06-30 21:00:00,Sud_Isole,ENEL,ALTRO,ALTRO,635.53
2026-06-30 21:00:00,Sud_Isole,A2A,IDROELETTRICO,ALTRO,395.0
2026-06-30 21:00:00,Sud_Isole,ENEL,TERMICO CICLO COMBINATO,GAS NATURALE,1859.484617
2026-06-30 21:00:00,Sud_Isole,ALTRO,TERMICO CICLO COMBINATO,GAS NATURALE,6903.199792
2026-06-30 21:00:00,Sud_Isole,ALTRO,TERMICO TRADIZIONALE,CARBONE,261.60607
2026-06-30 21:00:00,Sud_Isole,A2A,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,629.930162
2026-06-30 21:00:00,Nord,EDF,TERMICO CICLO COMBINATO,GAS NATURALE,1634.126152
2026-06-30 21:00:00,Nord,A2A,TERMICO CICLO COMBINATO,GAS NATURALE,3334.807313
2026-06-30 21:00:00,Sud_Isole,EP,TERMICO CICLO COMBINATO,GAS NATURALE,679.513022
2026-06-30 21:00:00,Sud_Isole,EDF,TERMICO CICLO COMBINATO,GAS NATURALE,2062.031527
2026-06-30 21:00:00,Nord,ENEL,TERMICO CICLO COMBINATO,GAS NATURALE,2673.497097
2026-06-30 21:00:00,Nord,A2A,TERMICO TRADIZIONALE,GAS NATURALE,110.0
2026-06-30 21:00:00,Sud_Isole,ALTRO,TERMICO CICLO COMBINATO,ALTRO,587.146183
2026-06-30 21:00:00,Sud_Isole,A2A,TERMICO CICLO COMBINATO,GAS NATURALE,661.813569
2026-06-30 21:00:00,Nord,A2A,IDROELETTRICO,ALTRO,1237.0
2026-06-30 21:00:00,Nord,EP,TERMICO CICLO COMBINATO,GAS NATURALE,2724.419269
2026-06-30 21:00:00,Sud_Isole,ALTRO,TERMICO TURBOGAS,GAS NATURALE,267.634035
2026-06-30 20:00:00,Nord,EDF,TERMICO CICLO COMBINATO,GAS NATURALE,1634.126152
2026-06-30 20:00:00,Sud_Isole,EDF,ALTRO,ALTRO,130.4
2026-06-30 20:00:00,Sud_Isole,EP,TERMICO TURBOGAS,GAS NATURALE,94.287433
2026-06-30 20:00:00,Nord,ALTRO,TERMICO CICLO COMBINATO,GAS NATURALE,6608.321578
2026-06-30 20:00:00,Nord,EDF,IDROELETTRICO,ALTRO,457.1
2026-06-30 20:00:00,Sud_Isole,EDF,TERMICO CICLO COMBINATO,GAS NATURALE,2062.031527
2026-06-30 20:00:00,Nord,ALTRO,IDROELETTRICO,ALTRO,1707.9
2026-06-30 20:00:00,Nord,ENEL,IDROELETTRICO,ALTRO,3923.24
2026-06-30 20:00:00,Sud_Isole,ENEL,ALTRO,ALTRO,635.53
2026-06-30 20:00:00,Sud_Isole,EP,TERMICO CICLO COMBINATO,GAS NATURALE,679.513022
2026-06-30 20:00:00,Sud_Isole,ALTRO,TERMICO TRADIZIONALE,CARBONE,261.60607
2026-06-30 20:00:00,Sud_Isole,A2A,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,629.930162
2026-06-30 20:00:00,Sud_Isole,ALTRO,ALTRO,ALTRO,602.3
2026-06-30 20:00:00,Sud_Isole,ENEL,TERMICO TRADIZIONALE,CARBONE,402.505682
2026-06-30 20:00:00,Nord,ENEL,TERMICO CICLO COMBINATO,GAS NATURALE,2673.497097
2026-06-30 20:00:00,Sud_Isole,ENEL,TERMICO TURBOGAS,GAS NATURALE,612.5
2026-06-30 20:00:00,Nord,EP,TERMICO CICLO COMBINATO,GAS NATURALE,2724.419269
2026-06-30 20:00:00,Sud_Isole,ALTRO,TERMICO TURBOGAS,GAS NATURALE,267.634035
2026-06-30 20:00:00,Nord,A2A,TERMICO CICLO COMBINATO,GAS NATURALE,3334.807313
2026-06-30 20:00:00,Sud_Isole,ALTRO,TERMICO CICLO COMBINATO,GAS NATURALE,6903.199792
2026-06-30 20:00:00,Sud_Isole,ALTRO,TERMICO CICLO COMBINATO,ALTRO,587.146183
2026-06-30 20:00:00,Sud_Isole,ENEL,TERMICO TURBOGAS,ALTRO,591.0
2026-06-30 20:00:00,Sud_Isole,ENEL,IDROELETTRICO,ALTRO,2490.9509
2026-06-30 20:00:00,Nord,A2A,TERMICO TRADIZIONALE,GAS NATURALE,110.0
2026-06-30 20:00:00,Nord,A2A,IDROELETTRICO,ALTRO,1237.0
2026-06-30 20:00:00,Sud_Isole,A2A,IDROELETTRICO,ALTRO,395.0
2026-06-30 20:00:00,Sud_Isole,ENEL,TERMICO CICLO COMBINATO,GAS NATURALE,1859.484617
2026-06-30 20:00:00,Sud_Isole,EDF,TERMICO CICLO COMBINATO,ALTRO,754.97
2026-06-30 20:00:00,Nord,ENEL,ALTRO,ALTRO,394.0
2026-06-30 20:00:00,Sud_Isole,A2A,TERMICO CICLO COMBINATO,GAS NATURALE,661.813569
2026-06-30 19:00:00,Nord,ALTRO,IDROELETTRICO,ALTRO,1707.9
2026-06-30 19:00:00,Nord,EDF,TERMICO CICLO COMBINATO,GAS NATURALE,1634.126152
2026-06-30 19:00:00,Sud_Isole,ALTRO,ALTRO,ALTRO,602.3
2026-06-30 19:00:00,Nord,ALTRO,TERMICO CICLO COMBINATO,GAS NATURALE,6608.321578
2026-06-30 19:00:00,Nord,A2A,IDROELETTRICO,ALTRO,1237.0
2026-06-30 19:00:00,Nord,EP,TERMICO CICLO COMBINATO,GAS NATURALE,2335.920243
2026-06-30 19:00:00,Sud_Isole,ENEL,TERMICO CICLO COMBINATO,GAS NATURALE,1859.484617
2026-06-30 19:00:00,Sud_Isole,ENEL,IDROELETTRICO,ALTRO,2409.2379
2026-06-30 19:00:00,Sud_Isole,ALTRO,TERMICO CICLO COMBINATO,GAS NATURALE,6903.199792
2026-06-30 19:00:00,Sud_Isole,ALTRO,TERMICO TRADIZIONALE,CARBONE,261.60607
2026-06-30 19:00:00,Sud_Isole,EDF,TERMICO CICLO COMBINATO,GAS NATURALE,2062.031527
2026-06-30 19:00:00,Sud_Isole,A2A,TERMICO CICLO COMBINATO,GAS NATURALE,661.813569
2026-06-30 19:00:00,Sud_Isole,ENEL,TERMICO TURBOGAS,GAS NATURALE,612.5
2026-06-30 19:00:00,Sud_Isole,ALTRO,TERMICO TURBOGAS,GAS NATURALE,267.634035
2026-06-30 19:00:00,Sud_Isole,A2A,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,629.930162
2026-06-30 19:00:00,Sud_Isole,ENEL,ALTRO,ALTRO,635.53
2026-06-30 19:00:00,Sud_Isole,ALTRO,TERMICO CICLO COMBINATO,ALTRO,587.146183
2026-06-30 19:00:00,Nord,ENEL,TERMICO CICLO COMBINATO,GAS NATURALE,2673.497097
2026-06-30 19:00:00,Sud_Isole,ENEL,TERMICO TURBOGAS,ALTRO,591.0
2026-06-30 19:00:00,Nord,EDF,IDROELETTRICO,ALTRO,457.1
2026-06-30 19:00:00,Nord,ENEL,IDROELETTRICO,ALTRO,3923.24
2026-06-30 19:00:00,Sud_Isole,ENEL,TERMICO TRADIZIONALE,CARBONE,402.505682
2026-06-30 19:00:00,Nord,A2A,TERMICO CICLO COMBINATO,GAS NATURALE,3334.807313
2026-06-30 19:00:00,Sud_Isole,EDF,ALTRO,ALTRO,130.4
2026-06-30 19:00:00,Sud_Isole,EP,TERMICO CICLO COMBINATO,GAS NATURALE,679.513022
2026-06-30 19:00:00,Sud_Isole,EDF,TERMICO CICLO COMBINATO,ALTRO,754.97
2026-06-30 19:00:00,Nord,ENEL,ALTRO,ALTRO,394.0
2026-06-30 19:00:00,Nord,A2A,TERMICO TRADIZIONALE,GAS NATURALE,110.0
2026-06-30 19:00:00,Sud_Isole,A2A,IDROELETTRICO,ALTRO,395.0
2026-06-30 19:00:00,Sud_Isole,EP,TERMICO TURBOGAS,GAS NATURALE,94.287433
2026-06-30 18:00:00,Sud_Isole,EDF,TERMICO CICLO COMBINATO,GAS NATURALE,2062.031527
2026-06-30 18:00:00,Sud_Isole,ENEL,IDROELETTRICO,ALTRO,2409.2379
2026-06-30 18:00:00,Nord,ENEL,IDROELETTRICO,ALTRO,3923.24
2026-06-30 18:00:00,Sud_Isole,EDF,ALTRO,ALTRO,130.4
2026-06-30 18:00:00,Nord,A2A,IDROELETTRICO,ALTRO,1237.0
2026-06-30 18:00:00,Sud_Isole,A2A,IDROELETTRICO,ALTRO,395.0
2026-06-30 18:00:00,Sud_Isole,A2A,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,629.930162
2026-06-30 18:00:00,Nord,A2A,TERMICO TRADIZIONALE,GAS NATURALE,110.0
2026-06-30 18:00:00,Nord,A2A,TERMICO CICLO COMBINATO,GAS NATURALE,3334.807313
2026-06-30 18:00:00,Sud_Isole,ALTRO,TERMICO CICLO COMBINATO,ALTRO,587.146183
2026-06-30 18:00:00,Nord,ALTRO,TERMICO CICLO COMBINATO,GAS NATURALE,6608.321578
2026-06-30 18:00:00,Sud_Isole,EDF,TERMICO CICLO COMBINATO,ALTRO,754.97
2026-06-30 18:00:00,Sud_Isole,ENEL,TERMICO TURBOGAS,GAS NATURALE,612.5
2026-06-30 18:00:00,Sud_Isole,ALTRO,TERMICO TURBOGAS,GAS NATURALE,267.634035
2026-06-30 18:00:00,Sud_Isole,EP,TERMICO CICLO COMBINATO,GAS NATURALE,679.513022
2026-06-30 18:00:00,Sud_Isole,ALTRO,TERMICO TRADIZIONALE,CARBONE,261.60607
2026-06-30 18:00:00,Sud_Isole,A2A,TERMICO CICLO COMBINATO,GAS NATURALE,661.813569
2026-06-30 18:00:00,Nord,EP,TERMICO CICLO COMBINATO,GAS NATURALE,2335.920243
2026-06-30 18:00:00,Sud_Isole,ENEL,TERMICO CICLO COMBINATO,GAS NATURALE,1859.484617
2026-06-30 18:00:00,Sud_Isole,ALTRO,TERMICO CICLO COMBINATO,GAS NATURALE,6903.199792
2026-06-30 18:00:00,Sud_Isole,ENEL,TERMICO TURBOGAS,ALTRO,591.0
2026-06-30 18:00:00,Nord,EDF,IDROELETTRICO,ALTRO,457.1
2026-06-30 18:00:00,Nord,ALTRO,IDROELETTRICO,ALTRO,1707.9
2026-06-30 18:00:00,Sud_Isole,ENEL,ALTRO,ALTRO,635.53
2026-06-30 18:00:00,Nord,ENEL,ALTRO,ALTRO,394.0
2026-06-30 18:00:00,Sud_Isole,ENEL,TERMICO TRADIZIONALE,CARBONE,402.505682
2026-06-30 18:00:00,Nord,ENEL,TERMICO CICLO COMBINATO,GAS NATURALE,2673.497097
2026-06-30 18:00:00,Sud_Isole,EP,TERMICO TURBOGAS,GAS NATURALE,94.287433
2026-06-30 18:00:00,Nord,EDF,TERMICO CICLO COMBINATO,GAS NATURALE,1634.126152
2026-06-30 18:00:00,Sud_Isole,ALTRO,ALTRO,ALTRO,602.3
2026-06-30 17:00:00,Sud_Isole,ALTRO,TERMICO CICLO COMBINATO,ALTRO,587.146183
2026-06-30 17:00:00,Nord,ENEL,TERMICO CICLO COMBINATO,GAS NATURALE,2673.497097
2026-06-30 17:00:00,Sud_Isole,A2A,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,629.930162
2026-06-30 17:00:00,Nord,EDF,IDROELETTRICO,ALTRO,457.1
2026-06-30 17:00:00,Nord,A2A,TERMICO TRADIZIONALE,GAS NATURALE,110.0
2026-06-30 17:00:00,Sud_Isole,ENEL,IDROELETTRICO,ALTRO,2409.2379
2026-06-30 17:00:00,Nord,ALTRO,TERMICO CICLO COMBINATO,GAS NATURALE,6608.321578
2026-06-30 17:00:00,Nord,ENEL,ALTRO,ALTRO,394.0
2026-06-30 17:00:00,Sud_Isole,ENEL,TERMICO TURBOGAS,GAS NATURALE,612.5
2026-06-30 17:00:00,Sud_Isole,ENEL,ALTRO,ALTRO,635.53
2026-06-30 17:00:00,Sud_Isole,A2A,TERMICO CICLO COMBINATO,GAS NATURALE,661.813569
2026-06-30 17:00:00,Nord,A2A,IDROELETTRICO,ALTRO,1237.0
2026-06-30 17:00:00,Sud_Isole,EDF,TERMICO CICLO COMBINATO,ALTRO,754.97
2026-06-30 17:00:00,Sud_Isole,ALTRO,TERMICO TRADIZIONALE,CARBONE,261.60607
2026-06-30 17:00:00,Nord,ENEL,IDROELETTRICO,ALTRO,3923.24
2026-06-30 17:00:00,Sud_Isole,ENEL,TERMICO TRADIZIONALE,CARBONE,402.505682
2026-06-30 17:00:00,Nord,A2A,TERMICO CICLO COMBINATO,GAS NATURALE,3334.807313
2026-06-30 17:00:00,Sud_Isole,EDF,ALTRO,ALTRO,130.4
2026-06-30 17:00:00,Sud_Isole,ENEL,TERMICO CICLO COMBINATO,GAS NATURALE,1859.484617
2026-06-30 17:00:00,Sud_Isole,EDF,TERMICO CICLO COMBINATO,GAS NATURALE,2062.031527
2026-06-30 17:00:00,Nord,ALTRO,IDROELETTRICO,ALTRO,1707.9
2026-06-30 17:00:00,Sud_Isole,ALTRO,TERMICO CICLO COMBINATO,GAS NATURALE,6903.199792
2026-06-30 17:00:00,Sud_Isole,EP,TERMICO CICLO COMBINATO,GAS NATURALE,679.513022
2026-06-30 17:00:00,Sud_Isole,ENEL,TERMICO TURBOGAS,ALTRO,591.0
2026-06-30 17:00:00,Nord,EP,TERMICO CICLO COMBINATO,GAS NATURALE,2335.920243
2026-06-30 17:00:00,Sud_Isole,A2A,IDROELETTRICO,ALTRO,395.0
2026-06-30 17:00:00,Sud_Isole,ALTRO,TERMICO TURBOGAS,GAS NATURALE,267.634035
2026-06-30 17:00:00,Sud_Isole,EP,TERMICO TURBOGAS,GAS NATURALE,94.287433
2026-06-30 17:00:00,Nord,EDF,TERMICO CICLO COMBINATO,GAS NATURALE,1634.126152
2026-06-30 17:00:00,Sud_Isole,ALTRO,ALTRO,ALTRO,602.3
2026-06-30 16:00:00,Sud_Isole,ALTRO,TERMICO TURBOGAS,GAS NATURALE,267.634035
2026-06-30 16:00:00,Nord,A2A,TERMICO TRADIZIONALE,GAS NATURALE,110.0
2026-06-30 16:00:00,Sud_Isole,A2A,IDROELETTRICO,ALTRO,395.0
2026-06-30 16:00:00,Sud_Isole,ENEL,TERMICO CICLO COMBINATO,GAS NATURALE,1859.484617
2026-06-30 16:00:00,Nord,EDF,IDROELETTRICO,ALTRO,457.1
2026-06-30 16:00:00,Nord,ALTRO,IDROELETTRICO,ALTRO,1707.9
2026-06-30 16:00:00,Nord,EDF,TERMICO CICLO COMBINATO,GAS NATURALE,1634.126152
2026-06-30 16:00:00,Sud_Isole,A2A,TERMICO CICLO COMBINATO,GAS NATURALE,661.813569
2026-06-30 16:00:00,Sud_Isole,ENEL,TERMICO TRADIZIONALE,CARBONE,402.505682
2026-06-30 16:00:00,Nord,A2A,TERMICO CICLO COMBINATO,GAS NATURALE,3334.807313
2026-06-30 16:00:00,Sud_Isole,ALTRO,TERMICO CICLO COMBINATO,GAS NATURALE,6903.199792
2026-06-30 16:00:00,Sud_Isole,ENEL,ALTRO,ALTRO,635.53
2026-06-30 16:00:00,Sud_Isole,ALTRO,TERMICO CICLO COMBINATO,ALTRO,587.146183
2026-06-30 16:00:00,Sud_Isole,EP,TERMICO CICLO COMBINATO,GAS NATURALE,679.513022
2026-06-30 16:00:00,Sud_Isole,EDF,ALTRO,ALTRO,130.4
2026-06-30 16:00:00,Sud_Isole,ENEL,TERMICO TURBOGAS,ALTRO,591.0
2026-06-30 16:00:00,Nord,ENEL,ALTRO,ALTRO,394.0
2026-06-30 16:00:00,Sud_Isole,A2A,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,629.930162
2026-06-30 16:00:00,Sud_Isole,ENEL,IDROELETTRICO,ALTRO,2336.63
2026-06-30 16:00:00,Nord,ENEL,IDROELETTRICO,ALTRO,3923.24
2026-06-30 16:00:00,Nord,EP,TERMICO CICLO COMBINATO,GAS NATURALE,2335.920243
2026-06-30 16:00:00,Nord,ALTRO,TERMICO CICLO COMBINATO,GAS NATURALE,6608.321578
2026-06-30 16:00:00,Sud_Isole,EDF,TERMICO CICLO COMBINATO,ALTRO,754.97
2026-06-30 16:00:00,Sud_Isole,ALTRO,TERMICO TRADIZIONALE,CARBONE,261.60607
2026-06-30 16:00:00,Sud_Isole,ENEL,TERMICO TURBOGAS,GAS NATURALE,612.5
2026-06-30 16:00:00,Sud_Isole,EP,TERMICO TURBOGAS,GAS NATURALE,94.287433
2026-06-30 16:00:00,Sud_Isole,EDF,TERMICO CICLO COMBINATO,GAS NATURALE,2062.031527
2026-06-30 16:00:00,Sud_Isole,ALTRO,ALTRO,ALTRO,602.3
2026-06-30 16:00:00,Nord,ENEL,TERMICO CICLO COMBINATO,GAS NATURALE,2673.497097
2026-06-30 16:00:00,Nord,A2A,IDROELETTRICO,ALTRO,1237.0
2026-06-30 15:00:00,Sud_Isole,ALTRO,ALTRO,ALTRO,602.3
2026-06-30 15:00:00,Sud_Isole,ALTRO,TERMICO CICLO COMBINATO,ALTRO,587.146183
2026-06-30 15:00:00,Nord,ENEL,ALTRO,ALTRO,394.0
2026-06-30 15:00:00,Sud_Isole,EDF,TERMICO CICLO COMBINATO,GAS NATURALE,2062.031527
2026-06-30 15:00:00,Nord,EDF,TERMICO CICLO COMBINATO,GAS NATURALE,1634.126152
2026-06-30 15:00:00,Sud_Isole,A2A,TERMICO CICLO COMBINATO,GAS NATURALE,661.813569
2026-06-30 15:00:00,Sud_Isole,ALTRO,TERMICO TRADIZIONALE,CARBONE,261.60607
2026-06-30 15:00:00,Nord,EDF,IDROELETTRICO,ALTRO,457.1
2026-06-30 15:00:00,Sud_Isole,ENEL,IDROELETTRICO,ALTRO,2336.63
2026-06-30 15:00:00,Nord,A2A,TERMICO TRADIZIONALE,GAS NATURALE,110.0
2026-06-30 15:00:00,Nord,ALTRO,TERMICO CICLO COMBINATO,GAS NATURALE,6608.321578
2026-06-30 15:00:00,Nord,A2A,IDROELETTRICO,ALTRO,1237.0
2026-06-30 15:00:00,Sud_Isole,ENEL,TERMICO TURBOGAS,ALTRO,591.0
2026-06-30 15:00:00,Sud_Isole,ALTRO,TERMICO TURBOGAS,GAS NATURALE,267.634035
2026-06-30 15:00:00,Sud_Isole,EP,TERMICO TURBOGAS,GAS NATURALE,94.287433
2026-06-30 15:00:00,Nord,A2A,TERMICO CICLO COMBINATO,GAS NATURALE,3334.807313
2026-06-30 15:00:00,Sud_Isole,ALTRO,TERMICO CICLO COMBINATO,GAS NATURALE,6903.199792
2026-06-30 15:00:00,Sud_Isole,EP,TERMICO CICLO COMBINATO,GAS NATURALE,679.513022
2026-06-30 15:00:00,Sud_Isole,ENEL,TERMICO TURBOGAS,GAS NATURALE,612.5
2026-06-30 15:00:00,Nord,ENEL,IDROELETTRICO,ALTRO,3923.24
2026-06-30 15:00:00,Sud_Isole,ENEL,TERMICO TRADIZIONALE,CARBONE,402.505682
2026-06-30 15:00:00,Sud_Isole,EDF,ALTRO,ALTRO,130.4
2026-06-30 15:00:00,Nord,EP,TERMICO CICLO COMBINATO,GAS NATURALE,2335.920243
2026-06-30 15:00:00,Sud_Isole,A2A,IDROELETTRICO,ALTRO,395.0
2026-06-30 15:00:00,Nord,ALTRO,IDROELETTRICO,ALTRO,1707.9
2026-06-30 15:00:00,Sud_Isole,ENEL,ALTRO,ALTRO,635.53
2026-06-30 15:00:00,Nord,ENEL,TERMICO CICLO COMBINATO,GAS NATURALE,2673.497097
2026-06-30 15:00:00,Sud_Isole,EDF,TERMICO CICLO COMBINATO,ALTRO,754.97
2026-06-30 15:00:00,Sud_Isole,ENEL,TERMICO CICLO COMBINATO,GAS NATURALE,1859.484617
2026-06-30 15:00:00,Sud_Isole,A2A,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,629.930162
2026-06-30 14:00:00,Sud_Isole,ENEL,TERMICO TRADIZIONALE,CARBONE,402.505682
2026-06-30 14:00:00,Sud_Isole,A2A,IDROELETTRICO,ALTRO,395.0
2026-06-30 14:00:00,Sud_Isole,A2A,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,629.930162
2026-06-30 14:00:00,Nord,EDF,IDROELETTRICO,ALTRO,457.1
2026-06-30 14:00:00,Nord,ALTRO,IDROELETTRICO,ALTRO,1707.9
2026-06-30 14:00:00,Sud_Isole,ALTRO,TERMICO TRADIZIONALE,CARBONE,261.60607
2026-06-30 14:00:00,Nord,EP,TERMICO CICLO COMBINATO,GAS NATURALE,2335.920243
2026-06-30 14:00:00,Nord,ENEL,TERMICO CICLO COMBINATO,GAS NATURALE,2673.497097
2026-06-30 14:00:00,Nord,ENEL,IDROELETTRICO,ALTRO,3706.54
