datetime,macroarea,plant_type,prevailing_fuel,available_capacity_mw
2026-06-30 17:00:00,Sud_Isole,TERMICO TRADIZIONALE,CARBONE,649.0
2026-06-30 17:00:00,Sud_Isole,IDROELETTRICO,ALTRO,2264.65
2026-06-30 17:00:00,Sud_Isole,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,578.0
2026-06-30 17:00:00,Sud_Isole,TERMICO CICLO COMBINATO,ALTRO,604.9
2026-06-30 17:00:00,Nord,ALTRO,ALTRO,379.06
2026-06-30 17:00:00,Nord,IDROELETTRICO,ALTRO,5882.0
2026-06-30 17:00:00,Sud_Isole,TERMICO CICLO COMBINATO,GAS NATURALE,11959.607
2026-06-30 17:00:00,Sud_Isole,TERMICO TURBOGAS,ALTRO,540.0
2026-06-30 17:00:00,Nord,TERMICO CICLO COMBINATO,GAS NATURALE,16233.6
2026-06-30 17:00:00,Nord,TERMICO TRADIZIONALE,GAS NATURALE,102.0
2026-06-30 16:00:00,Sud_Isole,TERMICO TRADIZIONALE,CARBONE,699.0
2026-06-30 16:00:00,Nord,ALTRO,ALTRO,391.0
2026-06-30 16:00:00,Nord,IDROELETTRICO,ALTRO,5821.8
2026-06-30 16:00:00,Sud_Isole,TERMICO CICLO COMBINATO,GAS NATURALE,11833.571
2026-06-30 16:00:00,Sud_Isole,IDROELETTRICO,ALTRO,2110.025
2026-06-30 16:00:00,Sud_Isole,TERMICO CICLO COMBINATO,ALTRO,596.0
2026-06-30 16:00:00,Sud_Isole,TERMICO TURBOGAS,GAS NATURALE,702.501
2026-06-30 16:00:00,Nord,TERMICO TRADIZIONALE,GAS NATURALE,102.0
2026-06-30 16:00:00,Sud_Isole,ALTRO,ALTRO,386.82
2026-06-30 16:00:00,Nord,TERMICO CICLO COMBINATO,GAS NATURALE,15908.601
2026-06-30 16:00:00,Sud_Isole,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,578.0
2026-06-30 16:00:00,Sud_Isole,TERMICO TURBOGAS,ALTRO,540.0
2026-06-30 15:00:00,Sud_Isole,IDROELETTRICO,ALTRO,2013.45
2026-06-30 15:00:00,Sud_Isole,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,578.0
2026-06-30 15:00:00,Nord,ALTRO,ALTRO,391.0
2026-06-30 15:00:00,Sud_Isole,TERMICO TURBOGAS,GAS NATURALE,702.501
2026-06-30 15:00:00,Sud_Isole,TERMICO TURBOGAS,ALTRO,540.0
2026-06-30 15:00:00,Sud_Isole,ALTRO,ALTRO,386.82
2026-06-30 15:00:00,Sud_Isole,TERMICO CICLO COMBINATO,ALTRO,601.0
2026-06-30 15:00:00,Nord,TERMICO CICLO COMBINATO,GAS NATURALE,15899.901
2026-06-30 15:00:00,Nord,TERMICO TRADIZIONALE,GAS NATURALE,102.0
2026-06-30 15:00:00,Sud_Isole,TERMICO CICLO COMBINATO,GAS NATURALE,12080.966
2026-06-30 15:00:00,Sud_Isole,TERMICO TRADIZIONALE,CARBONE,699.0
2026-06-30 15:00:00,Nord,IDROELETTRICO,ALTRO,5811.9
2026-06-30 14:00:00,Nord,TERMICO CICLO COMBINATO,GAS NATURALE,15908.301
2026-06-30 14:00:00,Sud_Isole,TERMICO TURBOGAS,GAS NATURALE,702.501
2026-06-30 14:00:00,Sud_Isole,TERMICO CICLO COMBINATO,GAS NATURALE,12094.727
2026-06-30 14:00:00,Sud_Isole,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,578.0
2026-06-30 14:00:00,Nord,TERMICO TRADIZIONALE,GAS NATURALE,102.0
2026-06-30 14:00:00,Nord,ALTRO,ALTRO,391.0
2026-06-30 14:00:00,Sud_Isole,IDROELETTRICO,ALTRO,2021.6
2026-06-30 14:00:00,Nord,IDROELETTRICO,ALTRO,5575.9
2026-06-30 14:00:00,Sud_Isole,TERMICO TRADIZIONALE,CARBONE,699.0
2026-06-30 14:00:00,Sud_Isole,TERMICO CICLO COMBINATO,ALTRO,585.7
2026-06-30 14:00:00,Sud_Isole,TERMICO TURBOGAS,ALTRO,540.0
2026-06-30 14:00:00,Sud_Isole,ALTRO,ALTRO,386.82
2026-06-30 13:00:00,Sud_Isole,TERMICO CICLO COMBINATO,GAS NATURALE,12090.021
2026-06-30 13:00:00,Sud_Isole,ALTRO,ALTRO,386.82
2026-06-30 13:00:00,Nord,TERMICO TRADIZIONALE,GAS NATURALE,102.0
2026-06-30 13:00:00,Sud_Isole,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,578.0
2026-06-30 13:00:00,Sud_Isole,TERMICO TRADIZIONALE,CARBONE,699.0
2026-06-30 13:00:00,Nord,TERMICO CICLO COMBINATO,GAS NATURALE,16064.951
2026-06-30 13:00:00,Sud_Isole,TERMICO CICLO COMBINATO,ALTRO,583.4
2026-06-30 13:00:00,Sud_Isole,TERMICO TURBOGAS,GAS NATURALE,703.501
2026-06-30 13:00:00,Sud_Isole,TERMICO TURBOGAS,ALTRO,540.0
2026-06-30 13:00:00,Nord,IDROELETTRICO,ALTRO,5575.1
2026-06-30 13:00:00,Sud_Isole,IDROELETTRICO,ALTRO,1982.85
2026-06-30 13:00:00,Nord,ALTRO,ALTRO,391.0
2026-06-30 12:00:00,Sud_Isole,TERMICO CICLO COMBINATO,GAS NATURALE,12099.42
2026-06-30 12:00:00,Sud_Isole,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,578.0
2026-06-30 12:00:00,Sud_Isole,TERMICO TRADIZIONALE,CARBONE,699.0
2026-06-30 12:00:00,Nord,TERMICO TRADIZIONALE,GAS NATURALE,102.0
2026-06-30 12:00:00,Sud_Isole,TERMICO TURBOGAS,ALTRO,540.0
2026-06-30 12:00:00,Nord,IDROELETTRICO,ALTRO,5782.1
2026-06-30 12:00:00,Sud_Isole,IDROELETTRICO,ALTRO,1984.1
2026-06-30 12:00:00,Sud_Isole,TERMICO TURBOGAS,GAS NATURALE,703.501
2026-06-30 12:00:00,Nord,TERMICO CICLO COMBINATO,GAS NATURALE,16148.251
2026-06-30 12:00:00,Sud_Isole,ALTRO,ALTRO,386.82
2026-06-30 12:00:00,Sud_Isole,TERMICO CICLO COMBINATO,ALTRO,578.0
2026-06-30 12:00:00,Nord,ALTRO,ALTRO,391.0
2026-06-30 11:00:00,Nord,IDROELETTRICO,ALTRO,5726.1
2026-06-30 11:00:00,Sud_Isole,TERMICO CICLO COMBINATO,GAS NATURALE,12164.865
2026-06-30 11:00:00,Sud_Isole,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,578.0
2026-06-30 11:00:00,Sud_Isole,IDROELETTRICO,ALTRO,1989.05
2026-06-30 11:00:00,Nord,TERMICO CICLO COMBINATO,GAS NATURALE,16264.601
2026-06-30 11:00:00,Sud_Isole,TERMICO TURBOGAS,GAS NATURALE,704.501
2026-06-30 11:00:00,Sud_Isole,TERMICO TRADIZIONALE,CARBONE,699.0
2026-06-30 11:00:00,Nord,TERMICO TRADIZIONALE,GAS NATURALE,102.0
2026-06-30 11:00:00,Sud_Isole,TERMICO CICLO COMBINATO,ALTRO,589.0
2026-06-30 11:00:00,Sud_Isole,TERMICO TURBOGAS,ALTRO,540.0
2026-06-30 11:00:00,Nord,ALTRO,ALTRO,391.0
2026-06-30 11:00:00,Sud_Isole,ALTRO,ALTRO,386.82
2026-06-30 10:00:00,Nord,TERMICO CICLO COMBINATO,GAS NATURALE,16410.201
2026-06-30 10:00:00,Sud_Isole,TERMICO CICLO COMBINATO,GAS NATURALE,12206.341
2026-06-30 10:00:00,Sud_Isole,TERMICO TRADIZIONALE,CARBONE,699.0
2026-06-30 10:00:00,Sud_Isole,TERMICO TURBOGAS,ALTRO,540.0
2026-06-30 10:00:00,Sud_Isole,ALTRO,ALTRO,386.82
2026-06-30 10:00:00,Nord,TERMICO TRADIZIONALE,GAS NATURALE,102.0
2026-06-30 10:00:00,Sud_Isole,TERMICO CICLO COMBINATO,ALTRO,610.5
2026-06-30 10:00:00,Sud_Isole,TERMICO TURBOGAS,GAS NATURALE,704.501
2026-06-30 10:00:00,Sud_Isole,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,578.0
2026-06-30 10:00:00,Nord,ALTRO,ALTRO,391.0
2026-06-30 10:00:00,Nord,IDROELETTRICO,ALTRO,5732.3
2026-06-30 10:00:00,Sud_Isole,IDROELETTRICO,ALTRO,1989.4
2026-06-30 09:00:00,Sud_Isole,IDROELETTRICO,ALTRO,2054.4
2026-06-30 09:00:00,Nord,ALTRO,ALTRO,391.0
2026-06-30 09:00:00,Sud_Isole,TERMICO TURBOGAS,GAS NATURALE,705.501
2026-06-30 09:00:00,Nord,TERMICO CICLO COMBINATO,GAS NATURALE,16531.301
2026-06-30 09:00:00,Sud_Isole,ALTRO,ALTRO,386.82
2026-06-30 09:00:00,Sud_Isole,TERMICO CICLO COMBINATO,GAS NATURALE,12288.229
2026-06-30 09:00:00,Nord,TERMICO TRADIZIONALE,GAS NATURALE,102.0
2026-06-30 09:00:00,Sud_Isole,TERMICO CICLO COMBINATO,ALTRO,633.9
2026-06-30 09:00:00,Sud_Isole,TERMICO TURBOGAS,ALTRO,591.0
2026-06-30 09:00:00,Sud_Isole,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,578.0
2026-06-30 09:00:00,Nord,IDROELETTRICO,ALTRO,5794.15
2026-06-30 09:00:00,Sud_Isole,TERMICO TRADIZIONALE,CARBONE,699.0
2026-06-30 08:00:00,Sud_Isole,IDROELETTRICO,ALTRO,2054.4
2026-06-30 08:00:00,Sud_Isole,TERMICO TRADIZIONALE,CARBONE,699.0
2026-06-30 08:00:00,Sud_Isole,TERMICO TURBOGAS,GAS NATURALE,707.501
2026-06-30 08:00:00,Nord,TERMICO CICLO COMBINATO,GAS NATURALE,16869.55
2026-06-30 08:00:00,Sud_Isole,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,578.0
2026-06-30 08:00:00,Sud_Isole,ALTRO,ALTRO,386.82
2026-06-30 08:00:00,Sud_Isole,TERMICO TURBOGAS,ALTRO,591.0
2026-06-30 08:00:00,Nord,IDROELETTRICO,ALTRO,5898.0
2026-06-30 08:00:00,Nord,TERMICO TRADIZIONALE,GAS NATURALE,102.0
2026-06-30 08:00:00,Sud_Isole,TERMICO CICLO COMBINATO,GAS NATURALE,12414.62
2026-06-30 08:00:00,Sud_Isole,TERMICO CICLO COMBINATO,ALTRO,663.8
2026-06-30 08:00:00,Nord,ALTRO,ALTRO,391.0
2026-06-30 07:00:00,Sud_Isole,TERMICO CICLO COMBINATO,GAS NATURALE,12537.2
2026-06-30 07:00:00,Sud_Isole,TERMICO TURBOGAS,ALTRO,591.0
2026-06-30 07:00:00,Sud_Isole,ALTRO,ALTRO,386.82
2026-06-30 07:00:00,Sud_Isole,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,578.0
2026-06-30 07:00:00,Nord,IDROELETTRICO,ALTRO,5929.5
2026-06-30 07:00:00,Nord,ALTRO,ALTRO,391.0
2026-06-30 07:00:00,Sud_Isole,TERMICO TRADIZIONALE,CARBONE,632.0
2026-06-30 07:00:00,Sud_Isole,TERMICO CICLO COMBINATO,ALTRO,689.0
2026-06-30 07:00:00,Nord,TERMICO CICLO COMBINATO,GAS NATURALE,17222.0425
2026-06-30 07:00:00,Sud_Isole,IDROELETTRICO,ALTRO,2119.4
2026-06-30 07:00:00,Nord,TERMICO TRADIZIONALE,GAS NATURALE,102.0
2026-06-30 07:00:00,Sud_Isole,TERMICO TURBOGAS,GAS NATURALE,709.501
2026-06-30 06:00:00,Sud_Isole,IDROELETTRICO,ALTRO,2119.4
2026-06-30 06:00:00,Sud_Isole,ALTRO,ALTRO,566.82
2026-06-30 06:00:00,Nord,ALTRO,ALTRO,391.0
2026-06-30 06:00:00,Nord,IDROELETTRICO,ALTRO,5885.5
2026-06-30 06:00:00,Sud_Isole,TERMICO CICLO COMBINATO,GAS NATURALE,12669.7
2026-06-30 06:00:00,Nord,TERMICO CICLO COMBINATO,GAS NATURALE,17201.4385
2026-06-30 06:00:00,Sud_Isole,TERMICO CICLO COMBINATO,ALTRO,698.0
2026-06-30 06:00:00,Sud_Isole,TERMICO TURBOGAS,GAS NATURALE,710.501
2026-06-30 06:00:00,Sud_Isole,TERMICO TRADIZIONALE,CARBONE,602.0
2026-06-30 06:00:00,Nord,TERMICO TRADIZIONALE,GAS NATURALE,102.0
2026-06-30 06:00:00,Sud_Isole,TERMICO TURBOGAS,ALTRO,591.0
2026-06-30 06:00:00,Sud_Isole,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,578.0
2026-06-30 05:00:00,Sud_Isole,ALTRO,ALTRO,566.82
2026-06-30 05:00:00,Nord,TERMICO CICLO COMBINATO,GAS NATURALE,17144.096
2026-06-30 05:00:00,Sud_Isole,TERMICO TURBOGAS,GAS NATURALE,710.501
2026-06-30 05:00:00,Sud_Isole,TERMICO TURBOGAS,ALTRO,591.0
2026-06-30 05:00:00,Sud_Isole,TERMICO TRADIZIONALE,CARBONE,602.0
2026-06-30 05:00:00,Sud_Isole,TERMICO CICLO COMBINATO,GAS NATURALE,12697.9
2026-06-30 05:00:00,Sud_Isole,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,578.0
2026-06-30 05:00:00,Nord,ALTRO,ALTRO,391.0
2026-06-30 05:00:00,Sud_Isole,IDROELETTRICO,ALTRO,2092.4
2026-06-30 05:00:00,Sud_Isole,TERMICO CICLO COMBINATO,ALTRO,700.0
2026-06-30 05:00:00,Nord,IDROELETTRICO,ALTRO,5776.3
2026-06-30 05:00:00,Nord,TERMICO TRADIZIONALE,GAS NATURALE,102.0
2026-06-30 04:00:00,Sud_Isole,TERMICO TURBOGAS,GAS NATURALE,709.501
2026-06-30 04:00:00,Nord,TERMICO CICLO COMBINATO,GAS NATURALE,17128.66125
2026-06-30 04:00:00,Sud_Isole,TERMICO CICLO COMBINATO,ALTRO,697.7
2026-06-30 04:00:00,Sud_Isole,TERMICO TURBOGAS,ALTRO,591.0
2026-06-30 04:00:00,Sud_Isole,TERMICO CICLO COMBINATO,GAS NATURALE,12691.5
2026-06-30 04:00:00,Sud_Isole,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,578.0
2026-06-30 04:00:00,Nord,TERMICO TRADIZIONALE,GAS NATURALE,102.0
2026-06-30 04:00:00,Nord,IDROELETTRICO,ALTRO,5760.3
2026-06-30 04:00:00,Sud_Isole,TERMICO TRADIZIONALE,CARBONE,602.0
2026-06-30 04:00:00,Sud_Isole,IDROELETTRICO,ALTRO,2092.4
2026-06-30 04:00:00,Sud_Isole,ALTRO,ALTRO,566.82
2026-06-30 04:00:00,Nord,ALTRO,ALTRO,391.0
2026-06-30 03:00:00,Nord,ALTRO,ALTRO,391.0
2026-06-30 03:00:00,Sud_Isole,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,578.0
2026-06-30 03:00:00,Nord,TERMICO CICLO COMBINATO,GAS NATURALE,17149.121
2026-06-30 03:00:00,Sud_Isole,TERMICO CICLO COMBINATO,ALTRO,694.0
2026-06-30 03:00:00,Sud_Isole,TERMICO TRADIZIONALE,CARBONE,602.0
2026-06-30 03:00:00,Sud_Isole,TERMICO TURBOGAS,ALTRO,591.0
2026-06-30 03:00:00,Sud_Isole,ALTRO,ALTRO,566.82
2026-06-30 03:00:00,Nord,TERMICO TRADIZIONALE,GAS NATURALE,102.0
2026-06-30 03:00:00,Sud_Isole,TERMICO CICLO COMBINATO,GAS NATURALE,12674.2
2026-06-30 03:00:00,Nord,IDROELETTRICO,ALTRO,5783.3
2026-06-30 03:00:00,Sud_Isole,IDROELETTRICO,ALTRO,2092.4
2026-06-30 03:00:00,Sud_Isole,TERMICO TURBOGAS,GAS NATURALE,709.501
2026-06-30 02:00:00,Sud_Isole,ALTRO,ALTRO,566.82
2026-06-30 02:00:00,Nord,TERMICO TRADIZIONALE,GAS NATURALE,102.0
2026-06-30 02:00:00,Sud_Isole,TERMICO TURBOGAS,ALTRO,591.0
2026-06-30 02:00:00,Sud_Isole,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,578.0
2026-06-30 02:00:00,Sud_Isole,TERMICO TRADIZIONALE,CARBONE,602.0
2026-06-30 02:00:00,Sud_Isole,TERMICO TURBOGAS,GAS NATURALE,709.501
2026-06-30 02:00:00,Nord,IDROELETTRICO,ALTRO,5816.4
2026-06-30 02:00:00,Sud_Isole,TERMICO CICLO COMBINATO,GAS NATURALE,12661.9
2026-06-30 02:00:00,Sud_Isole,IDROELETTRICO,ALTRO,2092.4
2026-06-30 02:00:00,Nord,TERMICO CICLO COMBINATO,GAS NATURALE,17097.761
2026-06-30 02:00:00,Sud_Isole,TERMICO CICLO COMBINATO,ALTRO,689.8
2026-06-30 02:00:00,Nord,ALTRO,ALTRO,391.0
2026-06-30 01:00:00,Nord,IDROELETTRICO,ALTRO,5829.4
2026-06-30 01:00:00,Sud_Isole,IDROELETTRICO,ALTRO,2092.4
2026-06-30 01:00:00,Sud_Isole,TERMICO CICLO COMBINATO,ALTRO,683.4
2026-06-30 01:00:00,Nord,TERMICO TRADIZIONALE,GAS NATURALE,102.0
2026-06-30 01:00:00,Sud_Isole,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,578.0
2026-06-30 01:00:00,Sud_Isole,ALTRO,ALTRO,566.82
2026-06-30 01:00:00,Sud_Isole,TERMICO TURBOGAS,ALTRO,591.0
2026-06-30 01:00:00,Nord,TERMICO CICLO COMBINATO,GAS NATURALE,17028.701
2026-06-30 01:00:00,Sud_Isole,TERMICO TRADIZIONALE,CARBONE,602.0
2026-06-30 01:00:00,Nord,ALTRO,ALTRO,391.0
2026-06-30 01:00:00,Sud_Isole,TERMICO CICLO COMBINATO,GAS NATURALE,12637.2
2026-06-30 01:00:00,Sud_Isole,TERMICO TURBOGAS,GAS NATURALE,708.501
2026-06-30 00:00:00,Sud_Isole,TERMICO CICLO COMBINATO,ALTRO,680.4
2026-06-30 00:00:00,Sud_Isole,TERMICO TURBOGAS,ALTRO,591.0
2026-06-30 00:00:00,Nord,TERMICO CICLO COMBINATO,GAS NATURALE,16970.3485
2026-06-30 00:00:00,Sud_Isole,TERMICO TURBOGAS,GAS NATURALE,708.501
2026-06-30 00:00:00,Nord,ALTRO,ALTRO,391.0
2026-06-30 00:00:00,Sud_Isole,IDROELETTRICO,ALTRO,2142.4
2026-06-30 00:00:00,Sud_Isole,ALTRO,ALTRO,566.82
2026-06-30 00:00:00,Sud_Isole,TERMICO TRADIZIONALE,CARBONE,602.0
2026-06-30 00:00:00,Nord,IDROELETTRICO,ALTRO,5865.3
2026-06-30 00:00:00,Sud_Isole,TERMICO CICLO COMBINATO,GAS NATURALE,12614.414
2026-06-30 00:00:00,Sud_Isole,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,578.0
2026-06-30 00:00:00,Nord,TERMICO TRADIZIONALE,GAS NATURALE,102.0
2026-06-29 23:00:00,Sud_Isole,TERMICO TRADIZIONALE,CARBONE,591.0
2026-06-29 23:00:00,Sud_Isole,IDROELETTRICO,ALTRO,2142.4
2026-06-29 23:00:00,Sud_Isole,TERMICO TURBOGAS,ALTRO,540.0
2026-06-29 23:00:00,Sud_Isole,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,578.0
2026-06-29 23:00:00,Sud_Isole,TERMICO CICLO COMBINATO,ALTRO,676.0
2026-06-29 23:00:00,Sud_Isole,TERMICO TURBOGAS,GAS NATURALE,708.501
2026-06-29 23:00:00,Sud_Isole,ALTRO,ALTRO,559.02
2026-06-29 23:00:00,Nord,TERMICO CICLO COMBINATO,GAS NATURALE,17227.3
2026-06-29 23:00:00,Nord,ALTRO,ALTRO,391.0
2026-06-29 23:00:00,Nord,IDROELETTRICO,ALTRO,5910.175
2026-06-29 23:00:00,Nord,TERMICO TRADIZIONALE,GAS NATURALE,102.0
2026-06-29 23:00:00,Sud_Isole,TERMICO CICLO COMBINATO,GAS NATURALE,12203.241
2026-06-29 22:00:00,Sud_Isole,IDROELETTRICO,ALTRO,2142.4
2026-06-29 22:00:00,Nord,ALTRO,ALTRO,391.0
2026-06-29 22:00:00,Nord,TERMICO CICLO COMBINATO,GAS NATURALE,17154.7
2026-06-29 22:00:00,Nord,TERMICO TRADIZIONALE,GAS NATURALE,102.0
2026-06-29 22:00:00,Sud_Isole,TERMICO CICLO COMBINATO,ALTRO,670.7
2026-06-29 22:00:00,Sud_Isole,ALTRO,ALTRO,559.02
2026-06-29 22:00:00,Sud_Isole,TERMICO TRADIZIONALE,CARBONE,591.0
2026-06-29 22:00:00,Sud_Isole,TERMICO TURBOGAS,GAS NATURALE,707.501
2026-06-29 22:00:00,Nord,IDROELETTRICO,ALTRO,5957.8
2026-06-29 22:00:00,Sud_Isole,TERMICO CICLO COMBINATO,GAS NATURALE,12163.156
2026-06-29 22:00:00,Sud_Isole,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,578.0
2026-06-29 22:00:00,Sud_Isole,TERMICO TURBOGAS,ALTRO,540.0
2026-06-29 21:00:00,Sud_Isole,TERMICO CICLO COMBINATO,GAS NATURALE,12093.314
