assets_concerned,asset_type,voltage_kv_raw,daily_restoring_raw,reason,source_file,start_datetime,stop_datetime,voltage_kv,daily_restoring,duration_hours
S/E Ciminna - stl 251 Partinico 2,STL,220 kV,N,Altre di sviluppo,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2023-10-25,2026-12-31,220.0,False,27912.0
S/ECamporosso - macchina PST 267,ATR,220 kV,N,Guasto,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2023-11-26,2026-12-31,220.0,False,27144.0
CART. CADIDAVID - PALO 1/1,TRC,132 kV,N,Altre di manutenzioni,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2024-01-05,2026-12-31,132.0,False,26184.0
S/E Rondissone - Condensatore 132 kV,RIF,132 kV,N,Guasto,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2024-01-15,2026-12-31,132.0,False,25944.0
S/E Serra del vento- stl 138 CP Petralia,STL,150 kV,N,Riparazione Apparecchiatura AT,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2024-01-16,2026-06-30,150.0,False,21504.0
S/E Rogoredo RT-Semi-sb B1 132kV-dispari,SBA,132 kV,N,Rinnovo stazione,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2024-01-29,2026-03-31,132.0,False,19008.0
S/E Rogoredo RT-Semi-sb B1 132kV-dispari,SBA,132 kV,N,Rinnovo stazione,20260403-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2024-01-29,2027-08-20,132.0,False,31176.0
S/E Rogoredo RT-Semi-sb B2 132kV-dispari,SBA,132 kV,N,Rinnovo stazione,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2024-01-29,2026-03-31,132.0,False,19008.0
S/E Rogoredo RT-Semi-sb B2 132kV-dispari,SBA,132 kV,N,Rinnovo stazione,20260403-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2024-01-29,2027-12-15,132.0,False,33984.0
LINEA 132KV N.121 ENEA BRASIMONE - ENEA 1,LIN,132 kV,N,Altre di manutenzioni,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2024-01-30,2026-12-31,132.0,False,25584.0
LINEA 132KV N.122 ENEA BRASIMONE - ENEA 2,LIN,132 kV,N,Altre di manutenzioni,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2024-01-30,2026-12-31,132.0,False,25584.0
S/E Suvereto - stl 584 Piombino,STL,132 kV,N,Sostituzione Apparecchiatura AT,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2024-02-12,2026-12-31,132.0,False,25272.0
S/E Garaguso - stallo 150 kV TIP SbarraB,STJ,150 kV,N,Guasto,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2024-02-20,2026-12-31,150.0,False,25080.0
Linea 316 Scafa  -  Italcementi,LIN,70 kV,N,Altre di Manutenzione,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2024-02-21,2026-12-31,70.0,False,25056.0
L007 Riccione RT - Galleria Cattolica RT,LIN,132 kV,N,Altre di sviluppo,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2024-04-10,2026-03-31,132.0,False,17280.0
ROVESCA TRG4 4/9,TRF,150 kV,N,Guasto,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2024-04-30,2026-03-13,150.0,False,16368.0
ROVESCA TRG4 4/9,TRF,150 kV,N,Guasto,20260313-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2024-04-30,2026-03-17,150.0,False,16464.0
ROVESCA TRG4 4/9,TRF,150 kV,N,Guasto,20260320-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2024-04-30,2026-03-20,150.0,False,16536.0
S/E Rossano - ATR 1 380/150 KV,ATR,400 kV,N,Guasto,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2024-08-12,2026-04-30,400.0,False,15024.0
S/E Rossano - ATR 1 380/150 KV,ATR,400 kV,N,Guasto,20260501-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2024-08-12,2026-05-31,400.0,False,15768.0
Trc 206 Pozzuoli 220-All.Pozzuoli (B),TRC,70 kV,N,Guasto,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2024-11-04,2026-12-31,70.0,False,18888.0
L.097 S/E Castelbello - Maso Pill,LIN,220 kV,N,Altre di manutenzioni,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2024-12-02,2026-12-31,220.0,False,18216.0
Linea 802 Calenzano - Barberino,LIN,132 kV,N,Altre di Manutenzione,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2024-12-20,2026-12-31,132.0,False,17784.0
Linea L18 S/E Cassano-Ricevitrice O. BS,LIN,220 kV,N,Altre di Rinnovo,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2024-12-20,2026-07-31,220.0,False,14112.0
S/E Cislago - ATR 2 220/130 kV,ATR,132 kV,N,Sostituzione Apparecchiatura AT,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2024-12-23,2026-12-31,132.0,False,17712.0
SSE SCALEA (RFI) - TR 1 150/60 KV,TRF,150 kV,N,Controlli Tecnici Apparecchiatura AT,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-01-20,2026-03-31,150.0,False,10440.0
SSE SCALEA (RFI) - TR 1 150/60 KV,TRF,150 kV,N,Controlli Tecnici Apparecchiatura AT,20260403-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-01-20,2026-04-30,150.0,False,11160.0
SSE SCALEA (RFI) - TR 1 150/60 KV,TRF,150 kV,N,Controlli Tecnici Apparecchiatura AT,20260501-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-01-20,2026-05-31,150.0,False,11904.0
Linea 714 Lentini RT - Megara RT,LIN,150 kV,N,Interferenza Linea,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-02-19,2026-12-31,150.0,False,16320.0
Linea 66 kV Busalla PS - Cicagna PS GE006,LIN,70 kV,N,Guasto,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-03-05,2026-06-30,70.0,False,11568.0
S/E Melfi - ATR 4 380/150 KV,ATR,400 kV,N,Altre di manutenzioni,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-03-14,2026-12-31,400.0,False,15768.0
Linea 343  Monfalcone - Redipuglia,LIN,400 kV,N,Interferenza Linea,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-03-28,2026-11-30,400.0,False,14688.0
MONFALCONE SBARRA 400 KV A,SBA,400 kV,N,Costruzione nuova Sezione,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-03-28,2026-11-30,400.0,False,14688.0
Linea 951 S/E LaSpezia-C.le La Spezia II,LIN,400 kV,N,Guasto,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-04-08,2026-12-31,400.0,False,15168.0
CP Astroni - TR 2 220/60/10 kV,TRF,220 kV,N,Guasto,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-04-21,2026-04-30,220.0,False,8976.0
CP Astroni - TR 2 220/60/10 kV,TRF,220 kV,N,Guasto,20260501-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-04-21,2026-05-30,220.0,False,9696.0
S/E Matera Sincro-Compensatore ICS 2,SYN,20 kV,N,Riparazione Apparecchiatura AT,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-04-22,2026-03-31,20.0,False,8232.0
TRONCO N.721 UTENTE PILASTRESI-PILASTRESI ALLACC.,TRC,132 kV,N,Interferenza Linea,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-04-22,2026-03-12,132.0,False,7776.0
CENTRO ENERGIA FE: STL. 767 FERRARA SUD-ARANOVA,STL,132 kV,N,Interferenza Lavori,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-04-24,2026-12-31,132.0,False,14784.0
Centro Energia FE: stl. 871 Ferrara Z.I.,STL,132 kV,N,Interferenza Lavori,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-04-24,2026-12-31,132.0,False,14784.0
Centro Energia FE: stl. E17 C.le C.E.F.,STL,132 kV,N,Interferenza Lavori,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-04-24,2026-12-31,132.0,False,14784.0
Centro Energia Ferrara - Sbarra A 132 kV,SBA,132 kV,N,Interferenza Lavori,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-04-24,2026-12-31,132.0,False,14784.0
S/E Matera - stl BBB Compens. Sin. 2,STL,400 kV,N,Guasto,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-04-24,2026-06-30,400.0,False,10368.0
S/E Caltanissetta - Condensatore1 25MVAR,RIF,150 kV,N,Riparazione Apparecchiatura AT,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-05-26,2026-05-31,150.0,False,8880.0
S/E Caltanissetta - Condensatore1 25MVAR,RIF,150 kV,N,Riparazione Apparecchiatura AT,20260605-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-05-26,2026-06-27,150.0,False,9528.0
S/E RUMIANCA STL 101 LINEA SULCIS,STL,220 kV,N,Altre di manutenzioni,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-05-26,2026-12-31,220.0,False,14016.0
Linea 205 Sorgente - S.Filippo d.M. Gr.3,LIN,220 kV,N,Interferenza Linea,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-06-04,2026-06-30,220.0,False,9384.0
S/E Roma Sud - Reattore 220 kV,RIF,220 kV,N,Guasto,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-06-05,2026-06-30,220.0,False,9360.0
S/E Vellai - stl 647 p. 1,STL,132 kV,N,Sostituzione SPCC,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-06-14,2026-12-31,132.0,False,13560.0
S/E Vellai - stl 647 p. 1,STL,132 kV,N,Sostituzione SPCC,20260417-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-06-14,2026-04-17,132.0,False,7368.0
S/E Ospiate - stl 870 Ut. Vailog 1,STL,132 kV,N,Altre di manutenzioni,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-06-19,2026-12-31,132.0,False,13440.0
S/E S.Colombano- stl Disponibile,STL,132 kV,N,Altre di manutenzioni,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-06-27,2026-06-26,132.0,False,8736.0
S/E Ospiate - stl 871 Ut. Vailog 2,STL,132 kV,N,Altre di manutenzioni,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-07-05,2026-12-31,132.0,False,13056.0
Sez. sbarra (3)A2 132 kV  in CP ROVIGO Z.I.,SBA,132 kV,N,Guasto,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-07-05,2026-03-27,132.0,False,6360.0
Sez. sbarra (3)A2 132 kV  in CP ROVIGO Z.I.,SBA,132 kV,N,Guasto,20260327-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-07-05,2026-04-30,132.0,False,7176.0
Sez. sbarra (3)A2 132 kV  in CP ROVIGO Z.I.,SBA,132 kV,N,Guasto,20260508-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-07-05,2026-05-29,132.0,False,7872.0
Sez. sbarra (3)A2 132 kV  in CP ROVIGO Z.I.,SBA,132 kV,N,Guasto,20260529-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-07-05,2026-06-30,132.0,False,8640.0
Stallo 150 kV - 083:PTRA#TRAPANI in CP SALINE,STL,150 kV,N,Guasto,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-07-06,2027-01-01,150.0,False,13056.0
Stallo 150 kV - 082:POSP#OSPEDALETTO IN CP SALINE,STL,150 kV,N,Guasto,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-07-09,2026-12-31,150.0,False,12960.0
LINEA 293 CISLAGO - DALMINE,LIN,220 kV,N,Riparazione Carpenteria,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-07-12,2026-05-31,220.0,False,7752.0
LINEA 293 CISLAGO - DALMINE,LIN,220 kV,N,Riparazione Carpenteria,20260605-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-07-12,2026-12-31,220.0,False,12888.0
S/E Bovisio - stl 534/1  P.8 cma,STL,132 kV,N,Sostituzione Apparecchiature AT,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-07-15,2026-12-31,132.0,False,12816.0
S/E Bovisio - stl 534/1  P.8 cma,STL,132 kV,N,Interferenza Lavori,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-07-16,2026-12-31,132.0,False,12792.0
Stallo 60 kV 343:VMES#343 MESTRE R in CP SAN GIOBBE,STL,70 kV,N,Guasto,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-07-21,2026-03-27,70.0,False,5976.0
S/E RUMIANCA STL 102 VILLASOR,STL,220 kV,N,Altre di manutenzioni,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-07-24,2026-12-31,220.0,False,12600.0
Stallo CAMIN-ACCIAIERIE VENETE,STL,220 kV,N,Sostituzione Apparecchiatura AT,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-08-07,2026-08-14,220.0,False,8928.0
S/E Garigliano - ATR 2 380/150,ATR,150 kV,N,Guasto,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-08-08,2026-03-31,150.0,False,5640.0
S/E Garigliano - ATR 2 380/150,ATR,150 kV,N,Guasto,20260403-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-08-08,2026-04-30,150.0,False,6360.0
S/E Garigliano - ATR 2 380/150,ATR,150 kV,N,Guasto,20260501-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-08-08,2026-05-31,150.0,False,7104.0
S/E Garigliano - ATR 2 380/150,ATR,150 kV,N,Guasto,20260605-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-08-08,2026-09-30,150.0,False,10032.0
S/E Rondissone - Condensatore 132 kV,RIF,132 kV,N,Controlli Tecnici Apparecchiatura AT,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-09-08,2026-12-31,132.0,False,11496.0
S/E PADRICIANO - MACCHINA PST 274,STT,220 kV,N,Altre di manutenzioni,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-09-12,2026-12-31,220.0,False,11400.0
CP Pontecagnano - stl Fuorni 150 kV,STL,150 kV,N,Guasto,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-09-16,2026-12-31,150.0,False,11304.0
S/E Caracoli - Parallelo K2 150 (A2-B2),STK,150 kV,N,Interferenza Lavori,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-09-18,2026-12-31,150.0,False,11256.0
S/E Falconara - stl M16 Api Energia 2,STL,132 kV,N,Sostituzione Apparecchiatura AT,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-09-22,2026-12-31,132.0,False,11160.0
S/E Caltanissetta - Condensatore2 54MVAR,RIF,150 kV,N,Interventi parti meccaniche,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-09-26,2026-09-30,150.0,False,8856.0
Linea 232 Pracomune - S.Valburga,LIN,220 kV,N,Altre di manutenzioni,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-09-30,2026-09-18,220.0,False,8472.0
Stallo S.Valburga T.232 220 kV,STL,220 kV,N,Rinnovo stazione,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-09-30,2026-09-18,220.0,False,8472.0
Linea 276 Lettere - Vico 60 kV,LIN,70 kV,N,Sostituzione Conduttore,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-10-09,2026-03-20,70.0,False,3888.0
Linea 276 Lettere - Vico 60 kV,LIN,70 kV,N,Sostituzione Conduttore,20260313-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-10-09,2026-03-13,70.0,False,3720.0
S/E Maleo - stl 187 Pizzighettone,STL,132 kV,N,Altri interventi,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-10-10,2026-03-30,132.0,False,4104.0
Quero - palo 24/1  T.23.649,TRC,132 kV,N,Interferenza Linea,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-10-12,2026-04-24,132.0,False,4656.0
Quero - palo 24/1  T.23.649,TRC,132 kV,N,Interferenza Linea,20260424-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-10-12,2026-05-29,132.0,False,5496.0
Quero - palo 24/1  T.23.649,TRC,132 kV,N,Interferenza Linea,20260529-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-10-12,2026-06-30,132.0,False,6264.0
L. 260 BUSSOLENGO SS - COLUNGA CD P.58,LIN,220 kV,N,Altre di sviluppo,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-10-20,2026-12-31,220.0,False,10488.0
BARGI CENTRALE Stl SUVIANA 1 132 kV,STL,132 kV,N,Riparazione Apparecchiatura AT,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-10-27,2026-12-31,132.0,False,10320.0
Linea 762 Suviana - Bargi Centrale,LIN,132 kV,N,Interferenza Linea,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-10-27,2026-12-31,132.0,False,10320.0
SUVIANA Stl BARGI CENT 2 132 kV,STL,132 kV,N,Riparazione Apparecchiatura AT,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-10-27,2026-12-31,132.0,False,10320.0
SUVIANA TRG1 4/9,TRF,132 kV,N,Riparazione Apparecchiatura AT,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-10-27,2026-12-31,132.0,False,10320.0
SUVIANA TRG2 4/9,TRF,132 kV,N,Riparazione Apparecchiatura AT,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-10-27,2026-12-31,132.0,False,10320.0
Linea 762 Suviana - Bargi Centrale,LIN,132 kV,N,Interferenza Linea,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-10-31,2026-12-31,132.0,False,10224.0
NAUDERS - PST 21 220/220 kV,ATR,220 kV,N,Richiesto da APG,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-11-04,2026-07-01,220.0,False,5736.0
NAUDERS - PST 21 220/220 kV,ATR,220 kV,N,Richiesto da APG,20260529-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-11-04,2026-09-10,220.0,False,7440.0
S/E Vado L. - stl C.le Vado L. Gr.4,STL,400 kV,N,Interferenza Lavori,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-11-10,2026-12-31,400.0,False,9984.0
S/E Milano ric.sud - stl L11 Cassano 2,STL,220 kV,N,Controlli Tecnici Apparecchiatura AT,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-11-17,2026-03-31,220.0,False,3216.0
S/E Milano ric.sud - stl L11 Cassano 2,STL,220 kV,N,Controlli Tecnici Apparecchiatura AT,20260403-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-11-17,2026-10-20,220.0,False,8088.0
Linea 048 S. Giuseppe - Portoferraio,LIN,132 kV,N,Riparazione morsetteria,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-11-18,2026-05-15,132.0,False,4272.0
Linea 048 S. Giuseppe - Portoferraio,LIN,132 kV,N,Riparazione morsetteria,20260508-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-11-18,2026-06-03,132.0,False,4728.0
Linea 310 Castelluccia - Poggioreale FS  60 kV,LIN,70 kV,N,Altre di Rinnovo,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-11-18,2026-03-31,70.0,False,3192.0
Linea 505 Savignano Irpino- Savignano RT,LIN,150 kV,N,Altri investimenti,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2025-11-21,2026-03-31,150.0,False,3120.0
